model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,4,,40,1.1,,"[0.1553, 0.0004]","[0.1004, 0.0004]","[0.0947, 0.0003]","[0.0904, 0.0003]","[0.1091, 0.0005]","[0.0745, 0.0002]","[0.0832, 0.0003]","[0.0764, 0.0004]","[0.1045, 0.0005]","[0.1293, 0.0005]","[0.0437, 0.0003]","[0.2374, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,3,,40,0.9,,"[0.1487, 0.0004]","[0.1007, 0.0004]","[0.0947, 0.0003]","[0.0899, 0.0003]","[0.1097, 0.0005]","[0.0732, 0.0002]","[0.083, 0.0003]","[0.0738, 0.0004]","[0.0999, 0.0005]","[0.1224, 0.0005]","[0.0425, 0.0003]","[0.2198, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,3,,40,1.0,,"[0.1529, 0.0004]","[0.1024, 0.0004]","[0.0962, 0.0003]","[0.0914, 0.0003]","[0.1123, 0.0005]","[0.0739, 0.0002]","[0.0835, 0.0003]","[0.0758, 0.0004]","[0.1033, 0.0005]","[0.1271, 0.0005]","[0.0435, 0.0003]","[0.2282, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,3,,40,1.1,,"[0.149, 0.0004]","[0.1003, 0.0004]","[0.0941, 0.0003]","[0.0893, 0.0003]","[0.1097, 0.0005]","[0.0725, 0.0002]","[0.0827, 0.0003]","[0.0744, 0.0004]","[0.1007, 0.0005]","[0.1235, 0.0005]","[0.0433, 0.0003]","[0.2205, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,2,,80,0.9,,"[0.156, 0.0004]","[0.1074, 0.0004]","[0.1002, 0.0003]","[0.0948, 0.0003]","[0.1176, 0.0005]","[0.076, 0.0002]","[0.0881, 0.0003]","[0.0792, 0.0004]","[0.1061, 0.0005]","[0.1294, 0.0005]","[0.0459, 0.0003]","[0.2277, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,2,,80,1.0,,"[0.1587, 0.0004]","[0.1077, 0.0004]","[0.1009, 0.0003]","[0.0956, 0.0003]","[0.1177, 0.0005]","[0.0767, 0.0002]","[0.0888, 0.0003]","[0.0802, 0.0004]","[0.1084, 0.0005]","[0.1324, 0.0005]","[0.0465, 0.0003]","[0.2332, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,2,,80,1.1,,"[0.1625, 0.0004]","[0.1083, 0.0004]","[0.1017, 0.0003]","[0.0966, 0.0003]","[0.1185, 0.0005]","[0.0778, 0.0002]","[0.0893, 0.0003]","[0.0816, 0.0004]","[0.1109, 0.0005]","[0.1362, 0.0005]","[0.0472, 0.0003]","[0.2423, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,0.0001,2,,80,0.9,,"[0.1454, 0.0004]","[0.1036, 0.0004]","[0.0964, 0.0003]","[0.091, 0.0003]","[0.1142, 0.0005]","[0.0728, 0.0002]","[0.0844, 0.0003]","[0.0731, 0.0004]","[0.0973, 0.0004]","[0.1179, 0.0005]","[0.0433, 0.0003]","[0.2065, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,0.0001,2,,80,1.0,,"[0.1583, 0.0004]","[0.108, 0.0004]","[0.101, 0.0003]","[0.0956, 0.0003]","[0.1183, 0.0005]","[0.0766, 0.0002]","[0.0889, 0.0003]","[0.0802, 0.0004]","[0.108, 0.0005]","[0.1318, 0.0005]","[0.0466, 0.0003]","[0.2315, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,2,,60,0.9,,"[0.147, 0.0004]","[0.1035, 0.0004]","[0.0965, 0.0003]","[0.0911, 0.0003]","[0.1133, 0.0005]","[0.0728, 0.0002]","[0.0838, 0.0003]","[0.0748, 0.0004]","[0.1003, 0.0004]","[0.1217, 0.0005]","[0.0433, 0.0003]","[0.2117, 0.0006]"
